Rapport de diffusion — 2026-07-03 (heures UTC)
312 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
00:01:22 BLOC_A_SERIE_DU_JOUR              0m10s      1m57s    +107s  ⚠️ TROU APRÈS  jingle avant message 01 voici le message du jour
18:25:42 BLOC_D_SERIE_DU_JOUR             10m24s     10m21s      -3s  ✅  Lévitique 13
18:36:03 BLOC_D_SERIE_DU_JOUR              8m31s      8m28s      -3s  ✅  Lévitique 14
18:44:31 BLOC_D_SERIE_DU_JOUR              4m37s      4m35s      -2s  ✅  Lévitique 15
18:49:06 BLOC_D_SERIE_DU_JOUR              5m55s      5m53s      -2s  ✅  Lévitique 16
18:54:59 BLOC_D_SERIE_DU_JOUR              2m44s      2m41s      -3s  ✅  Lévitique 17
18:57:40 BLOC_D_SERIE_DU_JOUR              3m54s      3m51s      -3s  ✅  Lévitique 18
19:01:31 BLOC_D_SERIE_DU_JOUR              5m37s      5m34s      -3s  ✅  Lévitique 19
19:07:05 BLOC_D_SERIE_DU_JOUR              4m35s      4m32s      -3s  ✅  Lévitique 20
19:11:37 BLOC_D_SERIE_DU_JOUR              3m25s      3m22s      -3s  ✅  Lévitique 21
19:14:59 BLOC_D_SERIE_DU_JOUR              5m06s      5m12s      +6s  ✅  Lévitique 22
19:20:11 BLOC_D_SERIE_DU_JOUR              5m04s      5m02s      -2s  ✅  Guide Me - El ELyon - Abuja HF
19:25:13 BLOC_D_SERIE_DU_JOUR              5m45s      5m42s      -3s  ✅  How Precious Oh Lord
19:30:55 BLOC_D_SERIE_DU_JOUR              6m12s      6m09s      -3s  ✅  The King is Here (Abasiama Timothy)
19:37:04 BLOC_D_SERIE_DU_JOUR              4m33s      4m31s      -2s  ✅  God is Building - Will You Be - Ketu HF
19:41:35 BLOC_D_SERIE_DU_JOUR              5m57s      5m54s      -3s  ✅  You are God - Winnipeg Fellowship
19:47:29 BLOC_D_SERIE_DU_JOUR              3m04s      3m02s      -2s  ✅  The Lord is my Light and Salvation - Nonso Njoku
19:50:31 BLOC_D_SERIE_DU_JOUR              5m22s      5m19s      -3s  ✅  God's Got An Army - PHF
19:55:50 BLOC_D_SERIE_DU_JOUR              2m20s      2m17s      -3s  ✅  cantique  heureux l homme qui ne marche pas selon
19:58:07 BLOC_D_SERIE_DU_JOUR              5m13s      5m10s      -3s  ✅  Il s'appelait Emmanuel - Marcel Boungou + Paroles
20:03:17 BLOC_D_SERIE_DU_JOUR              6m54s      6m53s      -1s  ✅  There is no Lie (Imah Adegoke & Mary Umoh)
20:10:10 BLOC_D_SERIE_DU_JOUR              9m04s      9m00s      -4s  ✅  You're the Lamb - Calabar HF
20:19:10 BLOC_D_SERIE_DU_JOUR              0m07s      0m08s      +1s  ✅  jingle avant bible 02 voici la lecture de la bible
20:19:18 BLOC_D_SERIE_DU_JOUR              2m07s      2m05s      -2s  ✅  2 Jean 1
20:21:23 BLOC_D_SERIE_DU_JOUR              2m56s      2m53s      -3s  ✅  Sophonie 1
20:24:16 BLOC_D_SERIE_DU_JOUR              2m46s      2m44s      -2s  ✅  Sophonie 2
20:27:00 BLOC_D_SERIE_DU_JOUR              3m46s      3m44s      -2s  ✅  Sophonie 3
20:30:44 BLOC_D_SERIE_DU_JOUR              3m36s      3m33s      -3s  ✅  Hébreux 13
20:34:17 BLOC_D_SERIE_DU_JOUR              4m38s      4m36s      -2s  ✅  1 Samuel 1
20:38:53 BLOC_D_SERIE_DU_JOUR              6m23s      6m20s      -3s  ✅  1 Samuel 2
20:45:13 BLOC_D_SERIE_DU_JOUR              3m29s      3m26s      -3s  ✅  1 Samuel 3
20:48:39 BLOC_D_SERIE_DU_JOUR              0m06s      0m06s      +0s  ✅  jingle avant louange 01 place a la louange et adoration
20:48:45 BLOC_D_SERIE_DU_JOUR             10m13s     10m10s      -3s  ✅  As We Worship - Toronto & Winnipeg HF
20:58:55 BLOC_D_SERIE_DU_JOUR              5m43s      5m41s      -2s  ✅  Cantique l Éternel est mon Berger (1)
21:04:36 BLOC_D_SERIE_DU_JOUR              8m10s      8m08s      -2s  ✅  Agunechemba - SWBN TV
21:12:44 BLOC_D_SERIE_DU_JOUR              8m41s      8m38s      -3s  ✅  Unto Him (Vincent Opara)
21:21:22 BLOC_D_SERIE_DU_JOUR              8m25s      8m22s      -3s  ✅  The Mountains, Come and, Oh City - Ketu HF
21:29:44 BLOC_D_SERIE_DU_JOUR              5m21s      5m19s      -2s  ✅  We Shall Not Fear - Nonso Njoku
21:35:03 BLOC_D_SERIE_DU_JOUR              9m24s      9m21s      -3s  ✅  I See Your Face - Toronto HF
21:44:24 BLOC_D_SERIE_DU_JOUR              7m21s      7m18s      -3s  ✅  For By My God - Toronto & Winnipeg HF
21:51:42 BLOC_D_SERIE_DU_JOUR              0m06s      0m06s      +0s  ✅  jingle avant bible 01 la foi vient de ce quon entend
21:51:48 BLOC_D_SERIE_DU_JOUR              3m17s      3m15s      -2s  ✅  Galates 1
21:55:03 BLOC_D_SERIE_DU_JOUR              4m08s      4m06s      -2s  ✅  Galates 2
21:59:09 BLOC_D_SERIE_DU_JOUR              4m50s      4m47s      -3s  ✅  Galates 3
22:03:56 BLOC_D_SERIE_DU_JOUR              4m30s      4m28s      -2s  ✅  Galates 4
22:08:24 BLOC_D_SERIE_DU_JOUR              4m04s      4m02s      -2s  ✅  Galates 5
22:12:26 BLOC_D_SERIE_DU_JOUR              2m46s      2m44s      -2s  ✅  Galates 6
22:15:10 BLOC_D_SERIE_DU_JOUR              2m37s      2m34s      -3s  ✅  Michée 1
22:17:44 BLOC_D_SERIE_DU_JOUR              2m20s      2m17s      -3s  ✅  Michée 2
22:20:01 BLOC_D_SERIE_DU_JOUR              2m05s      2m02s      -3s  ✅  Michée 3
22:22:03 BLOC_D_SERIE_DU_JOUR              2m34s      2m32s      -2s  ✅  Michée 4
22:24:35 BLOC_D_SERIE_DU_JOUR              2m20s      2m17s      -3s  ✅  Michée 5
22:26:52 BLOC_D_SERIE_DU_JOUR              2m37s      2m35s      -2s  ✅  Michée 6
22:29:27 BLOC_D_SERIE_DU_JOUR              3m27s      3m24s      -3s  ✅  Michée 7
22:32:51 BLOC_D_SERIE_DU_JOUR              4m33s      4m30s      -3s  ✅  1 Pierre 1
22:37:21 BLOC_D_SERIE_DU_JOUR              0m05s      0m05s      +0s  ✅  jingle avant louange 04 suite de la selection musicale
22:37:26 BLOC_D_SERIE_DU_JOUR              6m10s      6m08s      -2s  ✅  That I May Know Him - Toronto HF
22:43:34 BLOC_D_SERIE_DU_JOUR              8m21s      8m18s      -3s  ✅  My Heart Rejoices - Toronto HF
22:51:52 BLOC_D_SERIE_DU_JOUR              7m18s      7m16s      -2s  ✅  Holy is the Lord (Emmanuel Umoh)
22:59:08 BLOC_D_SERIE_DU_JOUR              4m21s      4m18s      -3s  ✅  Sing Hallelujah - Abuja HF
23:03:26 BLOC_D_SERIE_DU_JOUR             11m01s     10m58s      -3s  ✅  Great is, Ascribe - Ketu HF
23:14:24 BLOC_D_SERIE_DU_JOUR              7m04s      7m01s      -3s  ✅  We Bless You Wonderful God  - Winnipeg Fellowship
23:21:25 BLOC_D_SERIE_DU_JOUR              6m02s      6m00s      -2s  ✅  Crown Him Lord of Lords - Nonso Njoku
23:27:25 BLOC_D_SERIE_DU_JOUR              5m19s      5m17s      -2s  ✅  Gabrielle LIDJI - Mélodie Céleste  by LFXA(Light FX Animation)_2
23:32:42 BLOC_E_LOUANGE_NUIT               2m20s      2m17s      -3s  ✅  cantique  heureux l homme qui ne marche pas selon
23:34:59 BLOC_E_LOUANGE_NUIT               5m19s      5m21s      +2s  ✅  Gabrielle LIDJI - Mélodie Céleste  by LFXA(Light FX Animation)_2
23:40:20 BLOC_E_LOUANGE_NUIT               7m25s      7m22s      -3s  ✅  Victorious Is the Lamb - Winnipeg Fellowship
23:47:42 BLOC_E_LOUANGE_NUIT               5m57s      5m54s      -3s  ✅  You are God - Winnipeg Fellowship
23:53:36 BLOC_E_LOUANGE_NUIT               4m13s      4m11s      -2s  ✅  4 minutes
23:57:47 BLOC_E_LOUANGE_NUIT               9m04s          ?           ⏳ dernier titre (durée réelle inconnue)  You're the Lamb - Calabar HF
----------------------------------------------------------------------------------------------------
Bilan : 312 titres, 1 anomalie(s) (titre coupé de plus de 10s ou trou d'antenne).

====================================================================================================
RÉEL vs PRÉVU — ce qui a joué vs ce que le plan prévoyait
====================================================================================================
----------------------------------------------------------------------------------------------------
BLOC_A  (00:00-06:00)  prévus  72 · joués  63 · conformité  86% · sautés 10 · en trop  1
   ⏭️  PRÉVU NON JOUÉ : jingle avant bible 02 voici la lecture de la bible · jingle avant louange 03 continuons dans la louange · jingle avant louange 04 suite de la selection musicale · Parole Prophétique FM · jingle avant bible 03 ecoutez la voix de dieu · jingle avant bible 04 restons a lecoute des ecritures  …(+4)
   ➕  JOUÉ NON PRÉVU : jingle avant message 01 voici le message du jour
----------------------------------------------------------------------------------------------------
BLOC_B  (06:00-12:00)  prévus 104 · joués  94 · conformité  89% · sautés 11 · en trop  1
   ⏭️  PRÉVU NON JOUÉ : jingle avant bible 04 restons a lecoute des ecritures · jingle avant bible 01 la foi vient de ce quon entend · 2 Corinthiens 5 · 2 Corinthiens 6 · 2 Corinthiens 7 · 2 Corinthiens 8  …(+5)
   ➕  JOUÉ NON PRÉVU : pqe j3
----------------------------------------------------------------------------------------------------
BLOC_C  (12:00-18:00)  prévus  86 · joués  82 · conformité  94% · sautés  5 · en trop  1
   ⏭️  PRÉVU NON JOUÉ : jingle avant bible 04 restons a lecoute des ecritures · jingle avant bible 05 poursuivons notre lecture · Igwe · In Jesus - PHF · Yahweh is Mighty (Imah Adegoke)
   ➕  JOUÉ NON PRÉVU : jingle avant message 02 enseignement parole de dieu
----------------------------------------------------------------------------------------------------
BLOC_D  (18:00-24:00)  prévus  83 · joués  73 · conformité  81% · sautés 16 · en trop  6
   ⏭️  PRÉVU NON JOUÉ : jingle avant louange 02 voici notre selection de cantiques · 10 minutes · jingle avant bible 03 ecoutez la voix de dieu · Ecclésiaste 9 · Ecclésiaste 10 · Ecclésiaste 11  …(+10)
   ➕  JOUÉ NON PRÉVU : cantique  heureux l homme qui ne marche pas selon · Gabrielle LIDJI - Mélodie Céleste  by LFXA(Light FX Animation)_2 · Victorious Is the Lamb - Winnipeg Fellowship · You are God - Winnipeg Fellowship · 4 minutes · You're the Lamb - Calabar HF
----------------------------------------------------------------------------------------------------
CONFORMITÉ GLOBALE : 303/345 titres prévus joués dans l'ordre = 88%  (9 titre(s) hors plan)
